Time,Sensor,Range,Range Variance,Azimuth,Azimuth Variance,Elevation,Elevation Variance,X,Y,Z
384.0,S1,93.30867218785157,0.010000000000000002,1.572519707514979,3.046174197867086e-06,-0.13166600550860533,3.046174197867086e-06,92.38326897716061,0.0,-12.315737572635111
385.0,S1,93.38028660714538,0.010000000000000002,1.5743731200980826,3.046174197867086e-06,-0.13527093418727681,3.046174197867086e-06,92.34513164352481,0.0,-12.354559211720312
386.0,S1,93.34997481646631,0.010000000000000002,1.5699110571398989,3.046174197867086e-06,-0.13293824979505453,3.046174197867086e-06,92.30690894533832,0.0,-12.393341701792817
387.0,S1,93.18216763244772,0.010000000000000002,1.5725206829728129,3.046174197867086e-06,-0.1328243572663081,3.046174197867086e-06,92.2686009687806,0.0,-12.432084995925816
388.0,S1,93.10837809785045,0.010000000000000002,1.5717763170476635,3.046174197867086e-06,-0.13633963111256714,3.046174197867086e-06,92.23020780013432,0.0,-12.470789047239926
389.0,S1,93.00496073829152,0.010000000000000002,1.568158461338468,3.046174197867086e-06,-0.13625693671318828,3.046174197867086e-06,92.19172952578516,0.0,-12.50945380890325
390.0,S1,93.09913915947686,0.010000000000000002,1.5742927280855874,3.046174197867086e-06,-0.13375929116779878,3.046174197867086e-06,92.15316623222186,0.0,-12.548079234131434
391.0,S1,93.04172575375136,0.010000000000000002,1.56746251968922,3.046174197867086e-06,-0.13341417317991527,3.046174197867086e-06,92.11451800603598,0.0,-12.586665276187713
392.0,S1,92.98609694062564,0.010000000000000002,1.5695817772625857,3.046174197867086e-06,-0.13797143247213492,3.046174197867086e-06,92.07578493392187,0.0,-12.625211888382983
393.0,S1,93.0264825858075,0.010000000000000002,1.5706632930528517,3.046174197867086e-06,-0.13734933731715468,3.046174197867086e-06,92.03696710267653,0.0,-12.66371902407585
394.0,S1,92.7192529425617,0.010000000000000002,1.5681565064243943,3.046174197867086e-06,-0.13585269641150816,3.046174197867086e-06,91.99806459919952,0.0,-12.702186636672684
395.0,S1,92.75406566453114,0.010000000000000002,1.5717345634870072,3.046174197867086e-06,-0.13893070226420726,3.046174197867086e-06,91.9590775104929,0.0,-12.740614679627678
396.0,S1,92.65357849526578,0.010000000000000002,1.5729918204999047,3.046174197867086e-06,-0.13608855241007253,3.046174197867086e-06,91.92000592366102,0.0,-12.779003106442904
397.0,S1,92.84667717302902,0.010000000000000002,1.5688167169816924,3.046174197867086e-06,-0.1396573883966376,3.046174197867086e-06,91.88084992591047,0.0,-12.817351870668368
398.0,S1,92.81979638361574,0.010000000000000002,1.5699277705289634,3.046174197867086e-06,-0.1367438891386875,3.046174197867086e-06,91.84160960455002,0.0,-12.855660925902074
399.0,S1,92.58348798410216,0.010000000000000002,1.568413276222245,3.046174197867086e-06,-0.13933978134297204,3.046174197867086e-06,91.80228504699043,0.0,-12.893930225790067
400.0,S1,92.62471404574883,0.010000000000000002,1.5699365705773118,3.046174197867086e-06,-0.1407799358648669,3.046174197867086e-06,91.76287634074443,0.0,-12.932159724026501
401.0,S1,92.72192668789215,0.010000000000000002,1.572718887237284,3.046174197867086e-06,-0.1411794214944527,3.046174197867086e-06,91.72338357342652,0.0,-12.970349374353686
402.0,S1,92.52417545738757,0.010000000000000002,1.5704449070999815,3.046174197867086e-06,-0.14093332156203328,3.046174197867086e-06,91.68380683275296,0.0,-13.008499130562152
403.0,S1,92.61668108953734,0.010000000000000002,1.5726001225342991,3.046174197867086e-06,-0.142780029207157,3.046174197867086e-06,91.64414620654159,0.0,-13.046608946490698
404.0,S1,92.49719298346778,0.010000000000000002,1.570137081019605,3.046174197867086e-06,-0.1434680259443947,3.046174197867086e-06,91.60440178271178,0.0,-13.08467877602645
405.0,S1,92.49270160379851,0.010000000000000002,1.5702950555505324,3.046174197867086e-06,-0.1430329501166815,3.046174197867086e-06,91.56457364928424,0.0,-13.12270857310492
406.0,S1,92.57580926031592,0.010000000000000002,1.5702582764584645,3.046174197867086e-06,-0.14301696424884175,3.046174197867086e-06,91.52466189438101,0.0,-13.160698291710057
407.0,S1,92.27964079161225,0.010000000000000002,1.5729132966593156,3.046174197867086e-06,-0.14353441201323444,3.046174197867086e-06,91.48466660622532,0.0,-13.198647885874307
408.0,S1,92.38904462325172,0.010000000000000002,1.5709901560920156,3.046174197867086e-06,-0.1416005757728384,3.046174197867086e-06,91.44458787314144,0.0,-13.236557309678666
409.0,S1,92.54142828063156,0.010000000000000002,1.5713904384186617,3.046174197867086e-06,-0.14483651771497594,3.046174197867086e-06,91.40442578355464,0.0,-13.274426517252737
410.0,S1,92.3475057886775,0.010000000000000002,1.570594626867598,3.046174197867086e-06,-0.14659614723178463,3.046174197867086e-06,91.36418042599104,0.0,-13.312255462774779
411.0,S1,92.38366998873573,0.010000000000000002,1.568376945656164,3.046174197867086e-06,-0.1456659563566779,3.046174197867086e-06,91.3238518890775,0.0,-13.350044100471777
412.0,S1,92.22961678871837,0.010000000000000002,1.5687252102090647,3.046174197867086e-06,-0.14623021964412414,3.046174197867086e-06,91.28344026154157,0.0,-13.387792384619482
413.0,S1,92.2147036753342,0.010000000000000002,1.5706796133745409,3.046174197867086e-06,-0.14318172626418327,3.046174197867086e-06,91.24294563221129,0.0,-13.425500269542475
414.0,S1,92.31356650923115,0.010000000000000002,1.574133369492723,3.046174197867086e-06,-0.14598423057199897,3.046174197867086e-06,91.20236809001516,0.0,-13.463167709614222
415.0,S1,91.96180539546961,0.010000000000000002,1.5706155733675202,3.046174197867086e-06,-0.14768581016296758,3.046174197867086e-06,91.16170772398199,0.0,-13.500794659257123
416.0,S1,92.09764086056077,0.010000000000000002,1.573189425245112,3.046174197867086e-06,-0.14676801462935465,3.046174197867086e-06,91.12096462324081,0.0,-13.538381072942572
417.0,S1,92.08779013072778,0.010000000000000002,1.5718918323878455,3.046174197867086e-06,-0.14743920706547511,3.046174197867086e-06,91.08013887702076,0.0,-13.575926905191015
418.0,S1,91.99255340641092,0.010000000000000002,1.5716507907489123,3.046174197867086e-06,-0.14939503640491117,3.046174197867086e-06,91.039230574651,0.0,-13.613432110571997
419.0,S1,91.98545785466953,0.010000000000000002,1.5685928579485653,3.046174197867086e-06,-0.15262198293345217,3.046174197867086e-06,90.99823980556056,0.0,-13.650896643704227
420.0,S1,91.84797572163286,0.010000000000000002,1.5712688847494827,3.046174197867086e-06,-0.15112128832375046,3.046174197867086e-06,90.95716665927827,0.0,-13.688320459255628
421.0,S1,91.7258912248051,0.010000000000000002,1.570190826948355,3.046174197867086e-06,-0.1482152705581017,3.046174197867086e-06,90.91601122543261,0.0,-13.725703511943381
422.0,S1,91.79338871347693,0.010000000000000002,1.5727408913417222,3.046174197867086e-06,-0.15121466378806145,3.046174197867086e-06,90.87477359375164,0.0,-13.763045756534
423.0,S1,91.9587697865163,0.010000000000000002,1.5731701119456247,3.046174197867086e-06,-0.1504113985173289,3.046174197867086e-06,90.83345385406292,0.0,-13.800347147843373
424.0,S1,91.93068673158447,0.010000000000000002,1.572595795071191,3.046174197867086e-06,-0.15347881847542624,3.046174197867086e-06,90.7920520962933,0.0,-13.83760764073682
425.0,S1,91.88912131214397,0.010000000000000002,1.570490231977874,3.046174197867086e-06,-0.1509621664323088,3.046174197867086e-06,90.75056841046892,0.0,-13.87482719012915
426.0,S1,91.65685725151324,0.010000000000000002,1.5739621023467705,3.046174197867086e-06,-0.15095018243329208,3.046174197867086e-06,90.709002886715,0.0,-13.912005750984713
427.0,S1,91.66574479262114,0.010000000000000002,1.5733361014195073,3.046174197867086e-06,-0.1537860141613802,3.046174197867086e-06,90.66735561525581,0.0,-13.949143278317456
428.0,S1,91.70401737262846,0.010000000000000002,1.5717894675491793,3.046174197867086e-06,-0.15320846104841135,3.046174197867086e-06,90.62562668641459,0.0,-13.986239727190972
429.0,S1,91.60386470662976,0.010000000000000002,1.5715089301340923,3.046174197867086e-06,-0.15231042291898997,3.046174197867086e-06,90.5838161906133,0.0,-14.023295052718566
430.0,S1,91.51649800478803,0.010000000000000002,1.5705432282238925,3.046174197867086e-06,-0.150797651603477,3.046174197867086e-06,90.54192421837264,0.0,-14.060309210063298
